Date,BIL,GLD,SPY,TLT
2005-01-03,,43.02000045776367,81.60599517822266,44.88724136352539
2005-01-04,,42.7400016784668,80.60879516601562,44.416839599609375
2005-01-05,,42.66999816894531,80.05261993408203,44.65455627441406
2005-01-06,,42.150001525878906,80.45955657958984,44.684879302978516
2005-01-07,,41.84000015258789,80.34423065185547,44.78606033325195
2005-01-10,,41.95000076293945,80.7240982055664,44.85688018798828
2005-01-11,,42.209999084472656,80.16785430908203,45.11990737915039
2005-01-12,,42.599998474121094,80.43242645263672,45.18062210083008
2005-01-13,,42.599998474121094,79.78799438476562,45.615638732910156
2005-01-14,,42.31999969482422,80.20856475830078,45.61058044433594
2005-01-18,,42.31999969482422,81.04296875,45.76229476928711
2005-01-19,,42.2599983215332,80.19499969482422,45.893856048583984
2005-01-20,,42.25,79.70661926269531,45.98488235473633
2005-01-21,,42.7400016784668,79.21819305419922,46.03548049926758
2005-01-24,,42.77000045776367,79.06217193603516,46.23274230957031
2005-01-25,,42.2400016784668,79.2859878540039,45.79775619506836
2005-01-26,,42.689998626708984,79.52342987060547,45.88372039794922
2005-01-27,,42.619998931884766,79.6590805053711,45.79775619506836
2005-01-28,,42.689998626708984,79.6590805053711,46.25804138183594
2005-01-31,,42.220001220703125,80.1543197631836,46.3895378112793
2005-02-01,,42.099998474121094,80.66310119628906,46.31590270996094
2005-02-02,,42.15999984741211,80.90725708007812,46.42250061035156
2005-02-03,,41.68000030517578,80.69702911376953,46.39719009399414
2005-02-04,,41.470001220703125,81.55851745605469,47.04201889038086
2005-02-07,,41.27000045776367,81.44993591308594,47.3923454284668
2005-02-08,,41.2599983215332,81.54499053955078,47.66143798828125
2005-02-09,,41.310001373291016,80.93440246582031,47.78839111328125
2005-02-10,,41.75,81.22611236572266,47.143585205078125
2005-02-11,,42.08000183105469,81.92484283447266,47.11308670043945
2005-02-14,,42.54999923706055,81.86376190185547,47.26029968261719
2005-02-15,,42.58000183105469,82.16905212402344,47.02165985107422
2005-02-16,,42.52000045776367,82.22327423095703,46.843971252441406
2005-02-17,,42.72999954223633,81.55851745605469,46.54951477050781
2005-02-18,,42.75,81.66703796386719,46.13310241699219
2005-02-22,,43.56999969482422,80.45279693603516,45.93001937866211
2005-02-23,,43.41999816894531,81.02938079833984,46.0823860168457
2005-02-24,,43.33000183105469,81.56527709960938,45.98081970214844
2005-02-25,,43.5,82.37251281738281,46.204219818115234
2005-02-28,,43.529998779296875,81.82986450195312,45.70662307739258
2005-03-01,,43.220001220703125,82.23687744140625,45.6923828125
2005-03-02,,43.25,82.19612121582031,45.631263732910156
2005-03-03,,42.970001220703125,82.23004913330078,45.60580062866211
2005-03-04,,43.380001068115234,83.25437927246094,46.0998649597168
2005-03-07,,43.470001220703125,83.29508209228516,46.28318405151367
2005-03-08,,44.029998779296875,82.98301696777344,45.845191955566406
2005-03-09,,44.02000045776367,82.06047058105469,45.0964469909668
2005-03-10,,44.20000076293945,82.24366760253906,45.371498107910156
2005-03-11,,44.43000030517578,81.66703796386719,45.04045486450195
2005-03-14,,44.029998779296875,82.17578887939453,45.310359954833984
2005-03-15,,44.060001373291016,81.49745178222656,45.02512741088867
2005-03-16,,44.310001373291016,80.80555725097656,45.300174713134766
2005-03-17,,43.81999969482422,80.96831512451172,45.447906494140625
2005-03-18,,43.88999938964844,80.7279281616211,45.162635803222656
2005-03-21,,43.09000015258789,80.42829132080078,45.03532791137695
2005-03-22,,42.650001525878906,79.6110610961914,44.653350830078125
2005-03-23,,42.41999816894531,79.67916870117188,44.86727523803711
2005-03-24,,42.38999938964844,79.77450561523438,44.958946228027344
2005-03-28,,42.540000915527344,79.89028930664062,44.68391418457031
2005-03-29,,42.560001373291016,79.35905456542969,44.94877243041992
2005-03-30,,42.61000061035156,80.48274230957031,45.17288589477539
2005-03-31,,42.81999969482422,80.33294677734375,45.49882125854492
2005-04-01,,42.619998931884766,79.97200775146484,45.652225494384766
2005-04-04,,42.400001525878906,80.10821533203125,45.641937255859375
2005-04-05,,42.45000076293945,80.48957061767578,45.524391174316406
2005-04-06,,42.630001068115234,80.7688217163086,45.68290328979492
2005-04-07,,42.56999969482422,81.20465850830078,45.314781188964844
2005-04-08,,42.689998626708984,80.36019897460938,45.47328567504883
2005-04-11,,42.779998779296875,80.42146301269531,45.718666076660156
2005-04-12,,42.84000015258789,80.83690643310547,46.14299011230469
2005-04-13,,42.900001525878906,79.88347625732422,46.03047561645508
2005-04-14,,42.310001373291016,78.84151458740234,45.95892333984375
2005-04-15,,42.400001525878906,77.73827362060547,46.567264556884766
2005-04-18,,42.689998626708984,77.97660827636719,46.53152084350586
2005-04-19,,43.279998779296875,78.59634399414062,46.98139953613281
2005-04-20,,43.400001525878906,77.49991607666016,46.86378860473633
2005-04-21,,43.189998626708984,79.00493621826172,46.373016357421875
2005-04-22,,43.38999938964844,78.705322265625,46.761512756347656
2005-04-25,,43.439998626708984,79.22289276123047,46.89958190917969
2005-04-26,,43.63999938964844,78.45332336425781,46.82801818847656
2005-04-27,,43.20000076293945,78.75977325439453,46.991615295410156
2005-04-28,,43.0,77.7723159790039,47.33926010131836
2005-04-29,,43.349998474121094,78.82789611816406,47.25743865966797
2005-05-02,,42.880001068115234,79.2705307006836,47.2471809387207
2005-05-03,,42.7599983215332,79.40677642822266,47.375457763671875
2005-05-04,,42.900001525878906,80.01969909667969,46.95988845825195
2005-05-05,,42.90999984741211,79.99244689941406,47.067623138427734
2005-05-06,,42.52000045776367,79.74044799804688,46.718711853027344
2005-05-09,,42.54999923706055,80.23760223388672,46.764915466308594
2005-05-10,,42.63999938964844,79.40677642822266,47.0984001159668
2005-05-11,,42.689998626708984,79.84257507324219,47.242069244384766
2005-05-12,,42.15999984741211,78.96407318115234,47.42673110961914
2005-05-13,,41.95000076293945,78.80744934082031,47.6114501953125
2005-05-16,,41.880001068115234,79.5429458618164,47.55499267578125
2005-05-17,,41.86000061035156,80.07416534423828,47.68841552734375
2005-05-18,,42.04999923706055,80.89820098876953,48.00651550292969
2005-05-19,,41.97999954223633,81.23868560791016,47.88337707519531
2005-05-20,,41.650001525878906,81.12291717529297,47.939815521240234
